date,equity
2024-02-12,0.9995
2024-02-13,0.9882313422589467
2024-02-14,0.9834781082713008
2024-02-15,0.9819293182908672
2024-02-16,0.9736512123106557
2024-02-20,0.9696458624937416
2024-02-21,0.9737048084875092
2024-02-22,0.9846529561663689
2024-02-23,0.9747729564899131
2024-02-26,0.9675096485657741
2024-02-27,0.9743928707888816
2024-02-28,0.9615415940302993
2024-02-29,0.9794814785250626
2024-03-01,1.0186918454240779
2024-03-04,1.0553148134931183
2024-03-05,1.0633104802467783
2024-03-06,1.0918202423593384
2024-03-07,1.0957079371928693
2024-03-08,1.0750253722041574
2024-03-11,1.0283730342017863
2024-03-12,1.0499969377537781
2024-03-13,1.0382874229005772
2024-03-14,1.0046556914229845
2024-03-15,1.0034334597458008
2024-03-18,1.0104934019570337
2024-03-19,1.0202555854872062
2024-03-20,1.0321215589139763
2024-03-21,1.0242110165753158
2024-03-22,1.0462078446730545
2024-03-25,1.0413505782820065
2024-03-26,1.0455140103957732
2024-03-27,1.046901678950336
2024-03-28,1.0473181074517284
2024-04-01,1.078960596643929
2024-04-02,1.0725070209975438
2024-04-03,1.0739325519223026
2024-04-04,1.0379224916874887
2024-04-05,1.0551986365295707
2024-04-08,1.0525754558814815
2024-04-09,1.0509840278566103
2024-04-10,1.0407078681240094
2024-04-11,1.0473744604967856
2024-04-12,1.0248317715846742
