date,equity
2024-02-12,0.9995
2024-02-13,0.9882313422589467
2024-02-14,0.9834781082713008
2024-02-15,0.9809458401825959
2024-02-16,0.9784989809780137
2024-02-20,0.9482068520777305
2024-02-21,0.9522013486091276
2024-02-22,0.9615358793648883
2024-02-23,0.9649516813609538
2024-02-26,0.9683186074180862
2024-02-27,0.9625630634802954
2024-02-28,0.9532974359606045
2024-02-29,0.9515892556314699
2024-03-01,1.0015584449330628
2024-03-04,1.0150021885228224
2024-03-05,1.0128504208195486
2024-03-06,1.0450865906309403
2024-03-07,1.0918503463336648
2024-03-08,1.0301859838649765
2024-03-11,0.9836276624267907
2024-03-12,0.9895578339912044
2024-03-13,0.9977850594101714
2024-03-14,0.9644674769128893
2024-03-15,0.9435432157614411
2024-03-18,0.9869843222781074
2024-03-19,0.981653278645099
2024-03-20,1.0065211951303896
2024-03-21,0.9892416667134326
2024-03-22,0.9932556873286486
2024-03-25,0.9918688187372955
2024-03-26,0.9761337606195067
2024-03-27,0.9880010005552093
2024-03-28,0.9658048572866109
2024-04-01,0.9617074685711308
2024-04-02,0.9559552178240485
2024-04-03,0.9572258330265719
2024-04-04,0.9651218338220338
2024-04-05,0.9961389398849249
2024-04-08,0.9798609140551882
2024-04-09,1.000973009610649
2024-04-10,0.9970317642291812
2024-04-11,1.012520421002606
2024-04-12,0.9843557998127688
