date,equity
2024-03-14,0.9969380752737825
2024-03-15,0.9960535386964018
2024-03-18,1.000941908911173
2024-03-19,1.0020218356135204
2024-03-20,1.0056499644411248
2024-03-21,1.0080834998519497
2024-03-22,1.0062411035013228
2024-03-25,1.0085522710438106
2024-03-26,1.0078381312377642
2024-03-27,1.0071040603349957
2024-03-28,1.0078494035632066
2024-03-29,1.0028698651493202
2024-04-01,1.007455569205576
2024-04-02,1.0054922258258414
2024-04-03,1.009414593654368
2024-04-04,1.0102999753532722
2024-04-05,1.0161214407824763
2024-04-08,1.0141807576081385
