date,AAA,BBB
2024-03-01,178.37904357910156,410.9207153320313
2024-03-04,173.8515625,410.3470764160156
2024-03-05,168.90704345703125,398.2123107910156
2024-03-06,167.9141845703125,397.6585083007813
2024-03-07,167.7950439453125,404.6307678222656
2024-03-08,169.51271057128906,401.7429809570313
2024-03-11,171.51829528808594,400.0616760253906
2024-03-12,171.99488830566406,410.7030944824219
2024-03-13,169.90985107421875,410.525146484375
2024-03-14,171.7665252685547,420.5335693359375
2024-03-15,171.38922119140625,411.8305358886719
2024-03-18,172.4813995361328,412.7206115722656
2024-03-19,174.82455444335938,416.7655944824219
2024-03-20,177.3960723876953,420.54345703125
2024-03-21,170.14813232421875,424.6378479003906
2024-03-22,171.05166625976562,424.0148010253906
2024-03-25,169.63185119628906,418.1996154785156
2024-03-26,168.49998474121094,417.0028991699219
2024-03-27,172.07432556152344,416.7853088378906
2024-03-28,170.25735473632812,416.0831298828125
