date,equity
2024-03-01,0.9995
2024-03-04,0.9741314519476875
2024-03-05,0.9464261414791081
2024-03-06,0.9408629181465683
2024-03-07,0.9401953450264405
2024-03-08,0.9498198376698394
2024-03-11,0.961057603520678
2024-03-12,0.9637280669984021
2024-03-13,0.9520451099031341
2024-03-14,0.9624484948524197
2024-03-15,0.9593719223128184
2024-03-18,0.961445381041979
2024-03-19,0.9708682933616427
2024-03-20,0.9796689405693151
2024-03-21,0.9892069502517477
2024-03-22,0.987755543359663
2024-03-25,0.9742088894558366
2024-03-26,0.9714211019427974
2024-03-27,0.9709142185601287
2024-03-28,0.9683075568307938
