"window","cagr","vol","sharpe","mdd","days","ups","downs","winPct","cumret"
"fact_best_oos_10d","-0,452008478591695","0,326753408074923","-1,67391614836072","-0,043769489982541","0","0","0","N/A",
"fact_best_oos_15d","-0,552764535560081","0,305183980814984","-2,47872922237127","-0,0515103640171176","11","5","5","50,0 %","-0,0345147812095632"
"fact_best_oos_20d","-0,440527827538254","0,238351689478099","-2,31271326524678","-0,0515103640171175","0","0","0","N/A",
"fact_best_oos_30d","-0,463455106200963","0,198438291949101","-3,03377887901949","-0,0589623170253659","0","0","0","N/A",
