Meta_Version,date,rank,ticker,score
OroTitan_Data_v1.0,2018-01-05,1,MC.PA,0.8371466258487149
OroTitan_Data_v1.0,2018-01-05,2,GTT.PA,0.8094299203367257
OroTitan_Data_v1.0,2018-01-05,3,TTE.PA,0.8060838213354156
OroTitan_Data_v1.0,2018-01-05,4,AI.PA,0.5007399921611237
OroTitan_Data_v1.0,2018-01-05,5,ASML.AS,0.4959283908279969
OroTitan_Data_v1.0,2018-01-05,6,DSY.PA,0.38554127616384243
OroTitan_Data_v1.0,2018-01-05,7,OR.PA,0.2680025247533277
OroTitan_Data_v1.0,2018-01-05,8,SU.PA,-0.410454220473899
OroTitan_Data_v1.0,2018-01-05,9,ENX.PA,-0.4790847706638416
OroTitan_Data_v1.0,2018-01-05,10,IPN.PA,-3.2133335602894064
OroTitan_Data_v1.0,2018-01-12,1,GTT.PA,1.268744683755314
OroTitan_Data_v1.0,2018-01-12,2,TTE.PA,1.1264685273178785
OroTitan_Data_v1.0,2018-01-12,3,DSY.PA,0.5491604740643521
OroTitan_Data_v1.0,2018-01-12,4,AI.PA,0.5261781050623549
OroTitan_Data_v1.0,2018-01-12,5,SU.PA,0.18033343825194895
OroTitan_Data_v1.0,2018-01-12,6,ENX.PA,-0.05219176799230044
OroTitan_Data_v1.0,2018-01-12,7,ASML.AS,-0.11823323367812043
OroTitan_Data_v1.0,2018-01-12,8,MC.PA,-0.24695652889611217
OroTitan_Data_v1.0,2018-01-12,9,OR.PA,-0.28303353388212
OroTitan_Data_v1.0,2018-01-12,10,IPN.PA,-2.9504701640031983
OroTitan_Data_v1.0,2018-01-19,1,GTT.PA,1.8340510078027894
OroTitan_Data_v1.0,2018-01-19,2,DSY.PA,0.6518622076306748
OroTitan_Data_v1.0,2018-01-19,3,ASML.AS,0.46022853045135653
OroTitan_Data_v1.0,2018-01-19,4,AI.PA,0.22576931325891367
OroTitan_Data_v1.0,2018-01-19,5,TTE.PA,0.13785434154802312
OroTitan_Data_v1.0,2018-01-19,6,SU.PA,0.03534275690971295
OroTitan_Data_v1.0,2018-01-19,7,OR.PA,-0.3532362048894965
OroTitan_Data_v1.0,2018-01-19,8,ENX.PA,-0.4376899076769353
OroTitan_Data_v1.0,2018-01-19,9,MC.PA,-0.7041046704637628
OroTitan_Data_v1.0,2018-01-19,10,IPN.PA,-1.8500773745712755
